Name	Description
ENSG00000225972.1	MTND1P23
ENSG00000225630.1	MTND2P28
ENSG00000237973.1	hsa-mir-6723
ENSG00000229344.1	RP5-857K21.7
ENSG00000248527.1	MTATP6P1
ENSG00000198744.5	RP5-857K21.11
ENSG00000188976.6	NOC2L
ENSG00000188290.6	HES4
ENSG00000187608.5	ISG15
ENSG00000188157.9	AGRN
ENSG00000078808.12	SDF4
ENSG00000131584.14	ACAP3
ENSG00000127054.14	CPSF3L
ENSG00000224051.2	GLTPD1
ENSG00000107404.13	DVL1
ENSG00000162576.12	MXRA8
ENSG00000175756.9	AURKAIP1
ENSG00000221978.7	CCNL2
ENSG00000242485.1	MRPL20
ENSG00000179403.10	VWA1
ENSG00000160075.10	SSU72
ENSG00000197530.8	MIB2
ENSG00000008130.11	NADK
ENSG00000078369.13	GNB1
ENSG00000157933.9	SKI
ENSG00000157916.14	RER1
ENSG00000157873.13	TNFRSF14
ENSG00000162591.11	MEGF6
ENSG00000158109.10	TPRG1L
ENSG00000130764.5	LRRC47
ENSG00000116251.5	RPL22
ENSG00000116237.11	ICMT
ENSG00000215788.5	TNFRSF25
ENSG00000171680.16	PLEKHG5
ENSG00000162413.12	KLHL21
ENSG00000049245.8	VAMP3
ENSG00000116288.8	PARK7
ENSG00000116285.8	ERRFI1
ENSG00000142599.13	RERE
ENSG00000074800.9	ENO1
ENSG00000049239.8	H6PD
ENSG00000171621.9	SPSB1
ENSG00000171603.12	CLSTN1
ENSG00000178585.10	CTNNBIP1
ENSG00000162444.11	RBP7
ENSG00000142657.16	PGD
ENSG00000120948.11	TARDBP
ENSG00000271895.1	RP4-635E18.8
ENSG00000116649.5	SRM
ENSG00000171824.9	EXOSC10
ENSG00000171819.4	ANGPTL7
ENSG00000116661.9	FBXO2
ENSG00000132879.9	FBXO44
ENSG00000177674.11	AGTRAP
ENSG00000175206.6	NPPA
ENSG00000120937.8	NPPB
ENSG00000116685.11	KIAA2013
ENSG00000083444.12	PLOD1
ENSG00000116688.12	MFN2
ENSG00000028137.12	TNFRSF1B
ENSG00000162496.4	DHRS3
ENSG00000142634.8	EFHD2
ENSG00000162438.7	CTRC
ENSG00000142615.7	CELA2A
ENSG00000215704.5	CELA2B
ENSG00000116786.7	PLEKHM2
ENSG00000162458.8	FBLIM1
ENSG00000173641.13	HSPB7
ENSG00000142627.9	EPHA2
ENSG00000055070.12	SZRD1
ENSG00000157191.15	NECAP2
ENSG00000215908.5	CROCCP2
ENSG00000159363.13	ATP13A2
ENSG00000117118.5	SDHB
ENSG00000179051.9	RCC2
ENSG00000074964.12	ARHGEF10L
ENSG00000159423.12	ALDH4A1
ENSG00000169991.6	IFFO2
ENSG00000127481.10	UBR4
ENSG00000053371.8	AKR7A2
ENSG00000077549.13	CAPZB
ENSG00000158747.9	NBL1
ENSG00000188257.6	PLA2G2A
ENSG00000162545.5	CAMK2N1
ENSG00000090432.5	MUL1
ENSG00000158825.5	CDA
ENSG00000158828.5	PINK1
ENSG00000244038.5	DDOST
ENSG00000127483.13	HP1BP3
ENSG00000117298.10	ECE1
ENSG00000162551.9	ALPL
ENSG00000076864.15	RAP1GAP
ENSG00000142798.12	HSPG2
ENSG00000219073.3	CELA3B
ENSG00000142789.15	CELA3A
ENSG00000070831.11	CDC42
ENSG00000173372.12	C1QA
ENSG00000159189.7	C1QC
ENSG00000173369.11	C1QB
ENSG00000004487.11	KDM1A
ENSG00000125944.14	HNRNPR
ENSG00000204219.5	TCEA3
ENSG00000088280.14	ASAP3
ENSG00000117318.8	ID3
ENSG00000142676.8	RPL11
ENSG00000057757.5	PITHD1
ENSG00000011009.6	LYPLA2
ENSG00000179163.11	FUCA1
ENSG00000133226.12	SRRM1
ENSG00000169504.10	CLIC4
ENSG00000117614.5	SYF2
ENSG00000117616.13	C1orf63
ENSG00000183726.6	TMEM50A
ENSG00000162430.12	SEPN1
ENSG00000117640.13	MTFR1L
ENSG00000117632.16	STMN1
ENSG00000158022.6	TRIM63
ENSG00000142669.9	SH3BGRL3
ENSG00000169442.4	CD52
ENSG00000198830.6	HMGN2
ENSG00000117713.13	ARID1A
ENSG00000175793.10	SFN
ENSG00000090273.9	NUDC
ENSG00000253368.3	TRNP1
ENSG00000158246.7	FAM46B
ENSG00000142784.11	WDTC1
ENSG00000186501.10	TMEM222
ENSG00000142765.13	SYTL1
ENSG00000142733.10	MAP3K6
ENSG00000142748.8	FCN3
ENSG00000158195.6	WASF2
ENSG00000126705.9	AHDC1
ENSG00000000938.8	FGR
ENSG00000126709.10	IFI6
ENSG00000117758.9	STX12
ENSG00000117748.5	RPA2
ENSG00000126698.6	DNAJC8
ENSG00000130770.13	ATPIF1
ENSG00000198492.10	YTHDF2
ENSG00000116350.11	SRSF4
ENSG00000162511.7	LAPTM5
ENSG00000162512.11	SDC3
ENSG00000134644.11	PUM1
ENSG00000121766.10	ZCCHC17
ENSG00000121769.3	FABP3
ENSG00000168528.7	SERINC2
ENSG00000142910.11	TINAGL1
ENSG00000162517.8	PEF1
ENSG00000084636.13	COL16A1
ENSG00000184007.13	PTP4A2
ENSG00000121774.13	KHDRBS1
ENSG00000025800.9	KPNA6
ENSG00000084652.11	TXLNA
ENSG00000084623.7	EIF3I
ENSG00000116478.7	HDAC1
ENSG00000175130.6	MARCKSL1
ENSG00000160058.14	BSDC1
ENSG00000162521.14	RBBP4
ENSG00000162522.6	KIAA1522
ENSG00000121905.5	HPCA
ENSG00000121900.14	TMEM54
ENSG00000116514.12	RNF19B
ENSG00000004455.12	AK2
ENSG00000134686.12	PHC2
ENSG00000187513.8	GJA4
ENSG00000243749.1	ZMYM6NB
ENSG00000116560.6	SFPQ
ENSG00000020129.11	NCDN
ENSG00000126067.7	PSMB2
ENSG00000116863.10	ADPRHL2
ENSG00000054116.7	TRAPPC3
ENSG00000116871.11	MAP7D1
ENSG00000054118.9	THRAP3
ENSG00000142694.6	EVA1B
ENSG00000196182.6	STK40
ENSG00000181817.5	LSM10
ENSG00000116898.7	MRPS15
ENSG00000119535.13	CSF3R
ENSG00000163874.8	ZC3H12A
ENSG00000163875.11	MEAF6
ENSG00000197982.12	C1orf122
ENSG00000183431.7	SF3A3
