tissue,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Adipose_Subcutaneous,0.0,0.04643593917108986,0.019494294786624174,0.029027593538804262,0.040036802030659326,3.911103043187625e-08,0.059775057374871016,0.004530956028324033,0.005479111608645531,0.0049678493851291585,0.010199730580948857,0.010674136625472291,0.006982849959563399,1.5336257762391557e-08,0.004749941979297694,0.007023249651313523,0.004915044321114405,0.005236463275903632,0.011577274633770005,0.006568741015980607,0.04766296128204227,0.015189228007614556,0.03791326639905904,0.04514629055127561,0.03916825522253923,2.7257522615035164e-08,0.022817365043450735,0.018949771860944473,0.016684068369811764,2.6455996012333912e-08,0.046654840546524946,0.015011973907716898,0.011274643648163192,0.01636733644099869,0.013133298422267126,0.02819889916840622,0.015649808415928942,0.011379124520400942,0.02696324650069397,0.05291456994047368,0.012772750498945553,0.020922194822979263,0.06665410424470271,0.018070378805771222,0.021475255184514732,0.019332890623214485,1.7599788064171865e-08,0.01884274256333301,0.0237798719118061,0.07783552137253208,0.02681306257372322,0.031332574817160105,0.015854624233946946
Adipose_Visceral_Omentum,0.044631356492745376,0.0,0.02204301171876848,0.01763585591960536,0.02154699558563325,2.5816253820104538e-08,0.04126818426407298,0.0046153071141447856,0.005548449232026129,0.005052765932750197,0.010064952184714487,0.010519130219909831,0.007024015983231015,1.5365209971129173e-08,0.004839395510494304,0.007122379974686181,0.00498529478537657,0.005340457105024396,0.011771343551757601,0.006696254218119785,0.09158061821614835,0.017090354771049823,0.04055757550065156,0.043728431109945,0.026064658206171504,2.094721211317676e-08,0.03276350654815422,0.014307807920965419,0.020855183380961154,2.112130961206538e-08,0.031155970512379283,0.015880755875843564,0.011859433832271546,0.01873185186247547,0.014393532909614362,0.03377569671330945,0.020496794077489666,0.01194890643073753,0.01747025564024214,0.0292147895166213,0.013826989543605936,0.021121238696981164,0.11687208333613598,0.02517254079945433,0.031310569746149895,0.027079936610360542,2.2918146387007895e-08,0.023500161459623085,0.023984162182976925,0.03729286033977152,0.016405813965958582,0.04238792840017565,0.016999275191730688
Adrenal_Gland,0.0109420866839281,0.012872938677088094,0.0,0.008280525473434256,0.009298175830517728,1.470490378654148e-08,0.008450272385955348,0.006791160138160297,0.008164052039505699,0.007610099738121402,0.015264884276940218,0.0161576616338542,0.010581577256625379,2.280273812696444e-08,0.007191599583790397,0.011111598708715366,0.0074531039136694665,0.00783657147246521,0.02086881574436379,0.010440026096625397,0.010843299502261908,0.024766604013466555,0.02328964755270877,0.009704360740449678,0.010644069077566973,1.506340529301924e-08,0.028991324325742838,0.010036767911239412,0.016912942699842674,1.6007018596237332e-08,0.010134297512290617,0.04093542788979339,0.019389782622629456,0.04477105151593386,0.0215056653949904,0.013731874426160607,0.016125680918025614,0.021468849289004673,0.00922208543075736,0.013432896924641448,0.020960978649651314,0.04391794720502578,0.012513871489265384,0.015282808402428908,0.01546675053272875,0.021267759988004665,1.6573580081222037e-08,0.042064797070839315,0.03699009030933123,0.008604019989299024,0.00804340772092425,0.012961972834706018,0.020506754835266414
Artery_Aorta,0.029405985584779797,0.018588116932363737,0.014944795697390852,0.0,0.1236992138053453,7.946200339477304e-08,0.021109349820156116,0.004223413947617258,0.005132347625821967,0.004621782064964784,0.009657840668229913,0.010082959130869212,0.006550857599057342,1.4462423815825112e-08,0.004420871743368803,0.006516154202650578,0.004587550026332631,0.004877675184850203,0.010523623209448562,0.006071366508004436,0.0194133221771077,0.012796750834652952,0.021302324646168838,0.022444179219334906,0.06265168092733606,2.3389344427161285e-08,0.015121917732060688,0.016608868791083774,0.01294959324167488,2.1705677851443258e-08,0.03765447134811155,0.012823128134628914,0.010089883631339518,0.013152665971097396,0.011360237399245958,0.02145071563257102,0.011622830809628608,0.010104182732122213,0.10100387614322937,0.036839394929365034,0.011181528179127537,0.01688535943235319,0.020523197962500943,0.012819117656567475,0.014732070939649788,0.01346188676359565,1.3182104833576137e-08,0.01395206351584891,0.017964113431085033,0.02432091129574852,0.1762358384873643,0.020547047375606753,0.014288652858467048
Artery_Coronary,0.0386796267829033,0.02165827002504491,0.016003980994505132,0.11796824729345222,0.0,7.492964324185018e-08,0.025532209520880998,0.0043209659996836704,0.005248099432122873,0.004733270257219139,0.009892501630533025,0.010339571689726471,0.006704462981511527,1.478666933185739e-08,0.00452523673789577,0.006683884395998796,0.004695445167566274,0.004990304005860536,0.010865829405152462,0.00622937523602302,0.022614046013391922,0.01332059160594934,0.02446000826841057,0.025925357820806707,0.06079700486636285,2.6168548389354208e-08,0.016484391901879506,0.01860204305892482,0.013643157771453038,2.4257287999777994e-08,0.04282232431605719,0.013419384229281128,0.010406794634894736,0.01387009294294293,0.011769558199581167,0.022678160934138505,0.012355689529141867,0.01045297393344324,0.06853591712879432,0.047297902050545404,0.011561025213563893,0.018100105109715534,0.024616735391965437,0.01373137656931442,0.015866512495266945,0.014503269845859808,1.3980345572048493e-08,0.014928589522898406,0.019590266029790384,0.030349912776815733,0.09715907737351694,0.022347110312375067,0.014645142492892718
Artery_Tibial,0.023474284978686744,0.016121315736132492,0.01572398713533801,0.047079074634692214,0.046550450139118606,0.9999987282176318,0.01575430437834274,0.004468918846707246,0.005462817430757699,0.0049125368478407025,0.010651405824502979,0.01116260759946466,0.007046092626579891,1.5594425017244122e-08,0.004682914926344676,0.006978081815002897,0.004885185536858133,0.005153264142445444,0.011400317163328198,0.00646616567243249,0.01577376589139186,0.012742394449286206,0.02224443851036318,0.016762808029649297,0.03167774293078164,3.1678847983722905e-08,0.01457306480247586,0.02295974066145918,0.012046175215799634,2.8207420784262387e-08,0.023584674836970798,0.013707527205929928,0.010508054979777722,0.013387210820445973,0.01145517692130903,0.017572777323534627,0.010828560507236263,0.010624370999160384,0.09258868157436179,0.04213472329073529,0.011356921628170634,0.01909425467686897,0.01790617136543987,0.01168471238447763,0.013178704306061327,0.012678656121723341,1.2146045696522638e-08,0.013842070586267099,0.020275077616719112,0.017655210490142337,0.060460582930718404,0.01671679777400889,0.014218743852217336
Bladder,0.07165521761991284,0.05147037419554617,0.018047036802165933,0.0249791679408669,0.031680594518170804,3.146544912936698e-08,0.0,0.004345611201861665,0.005235456325378835,0.004747932617135877,0.00952134867100692,0.009934505134317227,0.006623843008870469,1.4532177871210418e-08,0.004551277987092087,0.006673467429412316,0.004692956773321736,0.005027547650289031,0.01087250300862928,0.0062637302495217,0.08229167029614558,0.015182756020176961,0.029549421793210878,0.12103695473090575,0.04276016193122514,2.0610797834689818e-08,0.022845925704831998,0.014265202141535283,0.01793288766066757,2.019001430035452e-08,0.06749093025818591,0.014080764353010717,0.010895965707586027,0.01590058171187759,0.0130029155803117,0.036391903021192384,0.01678435459314898,0.01089997302398492,0.02273353895129753,0.03269722923832056,0.012578103139883673,0.018296189441725,0.05560605537529914,0.020017405903975587,0.0245796424790685,0.020302767621152077,1.9170651195278484e-08,0.01856000906156708,0.02018805003826973,0.18755107556241446,0.022287808709550057,0.044062477102228256,0.015916110738783244
Brain_Amygdala,0.004026991199600949,0.004267814998619481,0.0107533104099585,0.0037053546005490563,0.00397510667410954,6.617595032385973e-09,0.0032219135487017315,0.0,0.07129513859388692,0.07287575345221126,0.019677840272085523,0.018678685341063806,0.0334394454594793,6.43881710476004e-08,0.21472782205693416,0.038991965764936756,0.05902606764921116,0.2630773457295895,0.025711860562518424,0.05036494995445088,0.003908064708263242,0.01417118292934842,0.0062197233283844055,0.0037883409005094143,0.004772751500873679,5.451100257664615e-09,0.007004291861296349,0.0036925487334538965,0.0070115824329681385,5.55379053275555e-09,0.004270459207063795,0.01790152455186928,0.032592089592714826,0.012942521289225876,0.016336462967139486,0.005913969772887047,0.00594117102271299,0.02898777165464618,0.004229680476845711,0.005002011953847118,0.0190286311740963,0.009916814544827754,0.004176985257245587,0.005523924600474563,0.005622829007144987,0.006463900037433182,6.432372586871545e-09,0.009118596790366378,0.008232792933664083,0.0033094498516166105,0.003594854362477364,0.005157850665778873,0.018767649210037707
Brain_Anterior_cingulate_cortex_BA24,0.0041650132301191,0.004388256469889372,0.011056543544577397,0.0038512135054917587,0.004129385216208326,6.918784602886309e-09,0.00331996084384252,0.06097830143293262,0.0,0.09621471704978916,0.023736251019279647,0.022133605209021308,0.05297060838598135,9.779956889025778e-08,0.07076413675624339,0.05485584513978646,0.15831415418715794,0.056270430792120164,0.02913056133565795,0.059536142267071615,0.0040168124471843284,0.013720384066944005,0.006449790607117459,0.003895664601660574,0.004933882581056815,5.720505980961121e-09,0.007125199857968145,0.003874544902403076,0.007025817031641825,5.828159379391155e-09,0.00440387621433792,0.01852364557218234,0.028578859895965564,0.012884047390560422,0.015476402786084696,0.006027793586210306,0.0059749695834331795,0.027464300916453528,0.0044091161896534035,0.005210959817929355,0.017733419393332076,0.010446171016944878,0.004306808668728212,0.005584496845182836,0.0057020268512656316,0.006536181117666233,6.472540301015878e-09,0.009196132454307934,0.008620934037273258,0.003414436104259061,0.003741695856626942,0.005270062145019316,0.017836154547763078
Brain_Caudate_basal_ganglia,0.004281419436492256,0.0045306726323798546,0.011684686979989563,0.00393191492131873,0.004222384355281513,7.053944889567363e-09,0.0034134699580789054,0.07066617437286371,0.1090823849355711,0.0,0.023613239923289127,0.02223040450956056,0.04903785829538069,8.716777993295107e-08,0.10537141330288936,0.06667759915056956,0.17291185918265367,0.06456266875468379,0.032058560065735674,0.10164825951175831,0.004139498998849,0.014596497062982314,0.006673713153789418,0.004005692867800774,0.005044344283827728,5.869204474109641e-09,0.007439827897327991,0.003973358063618858,0.007311931613442185,5.986897812035888e-09,0.004514286501361551,0.020169544559847374,0.03317357033551405,0.013793798999824903,0.016616040763305657,0.006203536915656924,0.006224841242378519,0.032246001024476945,0.004494976414648971,0.0053462476501211185,0.01918685393248704,0.010879890669043697,0.004441767311903195,0.005800867563901537,0.005911292484251601,0.006818374750776609,6.730144836632276e-09,0.009689777290759054,0.008952304490886876,0.003508379532902342,0.003818988707157418,0.005429940536743558,0.018616067635950532
