tissue,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Adipose_Subcutaneous,0.0,0.05080679587054419,1.4135580023653963e-08,0.017303179687802293,0.025103229990336054,0.026504563494072143,0.04187355109006279,0.007725292427728623,0.009142522873360655,0.006544214040439953,0.021418962282010498,0.02068796756507778,0.008676941048614875,0.00918018112045247,0.007610289409499798,0.009299010987513116,8.699883597005723e-09,0.007264795363797795,0.009935538460189795,0.00866807328249036,0.05341870090710422,0.012432878629445662,0.012652416577535623,0.020876057547701787,1.9240758388497666e-08,0.015491148264216633,1.1032134366249839e-08,0.014114701297551931,0.017993075091286195,0.014048291892513876,0.01682881563413929,0.01348878151679101,0.015289344583819036,0.03884906495107958,0.038454125396274595,0.019929294976652648,0.01528512047573534,0.019442300681586342,0.011850969110341074,0.014698677185903364,1.4055153696051048e-08,0.013389854313235656,0.03884282572342451,0.01025812639395573,0.010421817259380597,0.014485605835903236,0.028799086787766957,0.04333790410620515,0.026412963281324434,2.1063533416655675e-08,0.016337850077008834,0.01806609464740046,0.01201630580006792
Adipose_Visceral_Omentum,0.045841534025830036,0.0,1.4154867564775762e-08,0.01610617539513215,0.02259078379907791,0.031735248534947,0.020763478725918418,0.0070913553305187544,0.008275199673085048,0.006046630241020093,0.034914429696577855,0.03304502581440336,0.007657750883455674,0.008016726682542892,0.006918420005569473,0.008052971261364157,8.029140529973712e-09,0.006761934295584681,0.008657268506937207,0.007609149272987123,0.03480440148233033,0.010684497008607446,0.011198070975097422,0.014371549158265417,1.2542852310790784e-08,0.012030672236914404,1.0815075654383792e-08,0.009428735176832593,0.021434081407493834,0.00937714490935843,0.012056645952829207,0.011043204285796734,0.0123329030770615,0.023922508026899658,0.04142759572693724,0.013554514330505134,0.016803560753574115,0.015343632086410035,0.010642471413467615,0.011320068234809947,1.469175184199682e-08,0.011429024697273547,0.0202102381540123,0.008630429830412813,0.008716459948281805,0.014868309720945936,0.04798153111039139,0.0846427713885752,0.018787861120621287,1.5677054264319287e-08,0.012150387425708585,0.018802743919163943,0.011469484546421622
Adrenal_Gland,0.009044857176531921,0.010038216428863517,0.9999988755886062,0.012573326693663706,0.011093609600604707,0.012279165593893068,0.008115224639391906,0.01321072886591353,0.012258714029769045,0.014536061681159382,0.010803490650099197,0.010933776084460032,0.009489637908718018,0.009424384216920044,0.011957326199178726,0.010933363442815619,1.9535595979811116e-08,0.01739959714302034,0.012995512312470942,0.011446777559275508,0.008658015388736355,0.012040302858878886,0.014961012763693689,0.008780828222762004,6.1767979651231584e-09,0.01037933149002283,1.965366476059475e-08,0.005585999574583867,0.021230341046973054,0.005538000251844807,0.008003659410739699,0.010088075980495286,0.009745304577314918,0.008210988604629316,0.009929801701220214,0.007095783603516413,0.029864226852482998,0.009652479985077778,0.018689868774189024,0.008951882046920033,6.601957921253752e-08,0.011509523888132004,0.00772191791521842,0.010096657544108453,0.010041238713129981,0.019007657937368628,0.012229637168951703,0.009782767274142413,0.009914901688583055,7.224319881287885e-09,0.00822814580359052,0.013790612661136658,0.04181436842593294
Artery_Aorta,0.02148217578358676,0.02216192277017355,2.4395766517672653e-08,0.0,0.06565762193978486,0.04218355638544748,0.019326821792715155,0.018149277843189017,0.02493083405409962,0.012733774554220246,0.02091523634363909,0.020035418310419603,0.024730650687793232,0.025829531558977843,0.017929416509810902,0.01883803874225294,1.6406837100212756e-08,0.014360125512054402,0.01752151210383691,0.017261308206968414,0.01682655391127983,0.014080199086886036,0.015317225630687327,0.023048335978539575,1.154470305016869e-08,0.022722550174571657,3.215223107726493e-08,0.012278663327636755,0.028129133554429184,0.011949200385038765,0.014661872862095986,0.013817803050340128,0.013873714118622704,0.015556160308093044,0.0175929803020367,0.01279083377357856,0.027672239942795437,0.014617236451985446,0.016904086811376055,0.014383299869639314,2.3298031235007684e-08,0.014013499421886273,0.01624105043054678,0.013047887694714492,0.013432241254467939,0.04699760765666118,0.020740034447511067,0.019016011752177587,0.03712079790402505,1.2098496300535602e-08,0.013665580316712377,0.07433287877212416,0.018924592080823095
Artery_Coronary,0.029504473012750745,0.029427422251291264,2.037713184370628e-08,0.0621571449237589,0.0,0.06163431851871786,0.024542164584621676,0.01315137314459429,0.016871557929850473,0.010031185232165521,0.024390770187320485,0.0229595603006598,0.016620777489358946,0.017629983303248078,0.012999159549624701,0.014845859279616281,1.309683825003285e-08,0.011233584938143953,0.014518794887080915,0.013611297273971142,0.020664030180726715,0.013530921215065276,0.014394514351564894,0.025608180909202263,1.312915443807279e-08,0.021363763881581586,2.1105639531376704e-08,0.013626458457911802,0.02646062361227021,0.013253316529917226,0.01558832720240711,0.013728755843711776,0.0142192381538311,0.018560150017790017,0.02093156938427952,0.014317279034324783,0.02369547668762795,0.015634255968228733,0.015039059121350607,0.014636119304197235,2.001553157301808e-08,0.013775788594387611,0.019774524475587994,0.012163424692355748,0.012491464552432486,0.030583720308281725,0.024031840618616778,0.02364462257591943,0.05038242028581075,1.3638559056266919e-08,0.014445453358220882,0.05362954038505784,0.016243142002869197
Artery_Tibial,0.027104030790026813,0.03596812462885879,1.962429221380587e-08,0.03474594027584098,0.053626267134774155,0.0,0.018902903561832298,0.010620688694234095,0.012866916110171467,0.008493932085830058,0.038161784820856234,0.03418781644362899,0.011916130719469332,0.012395699248232025,0.010321461117352413,0.011286330049117447,1.1137153875316514e-08,0.009586167420337868,0.01156205562954904,0.010623743260189002,0.020025540042937787,0.011779716728691946,0.012703189945903103,0.017170118592412756,1.1070813282248661e-08,0.015234158579379447,1.8516356457165482e-08,0.01010333261284829,0.033805934410187345,0.0099306096536317,0.01242999373763637,0.011720448931459014,0.012351655329118983,0.016953424690499094,0.022031757711893505,0.012144203677769123,0.026515312925964128,0.013962399939334359,0.013045673327076904,0.011990660963209438,2.0511304557488222e-08,0.012123171720000759,0.016527009121568435,0.010092607415481037,0.010263862477472354,0.029501392490922325,0.03009473665349252,0.027034095507850155,0.026286228272983537,1.248512130287274e-08,0.01204908345652954,0.05372246364569269,0.014862802647599545
Bladder,0.04826146241932434,0.026523050176005997,1.4617501636269663e-08,0.017941914340842302,0.02406663061069852,0.021304727210465203,0.0,0.008711179193004787,0.010411150957289615,0.00736289168449549,0.01602707933928277,0.015655729593750962,0.010133704044343576,0.010848898352913769,0.008674785283590933,0.011289069723586795,9.806444502244075e-09,0.008103379896002487,0.012022982386928054,0.010356649446476948,0.03474522013625427,0.015073839466655675,0.014839433114575005,0.03718417854804505,3.165009892478274e-08,0.02220724631519088,1.1503674791296227e-08,0.028585628533042057,0.016054665395159175,0.02845162225207772,0.027611782164793975,0.017354098314726403,0.019584134411755754,0.03886575073552802,0.026464050630162567,0.030853968543348636,0.014502976831960073,0.023978089072051106,0.013781407949042201,0.020989958379999108,1.395911780862894e-08,0.016201787649742568,0.07918809561755209,0.012976176449989893,0.013312816900566356,0.01432018347720096,0.0208325523707625,0.025041455796882585,0.0357765242989655,2.3766395662487202e-08,0.023953160096068373,0.016998521501981546,0.013047483517970016
Brain_Amygdala,0.01333844808539872,0.013570076219882933,3.5647499719471054e-08,0.0252404664172824,0.01931982633065862,0.017932045345495813,0.013049883585301436,0.0,0.075840119652183,0.04371781753495743,0.013088031145159381,0.01296109034079395,0.038108448311556804,0.03451050772472834,0.2025169678470771,0.040702566010996505,4.9721816608136735e-08,0.049433351953705656,0.03705375581750818,0.045969790575438714,0.011966883852580537,0.016842828827863535,0.019616035463606483,0.016635683613566873,9.332216508581319e-09,0.022600249270512775,3.972225238116378e-08,0.009773853842409823,0.02092382430707381,0.009593107925706395,0.013197242657837508,0.014990409341263064,0.013930445250608145,0.011637969130619784,0.012826769672221924,0.010644409483696847,0.024615926420970574,0.01332861269138896,0.02670585414472748,0.014459611439476952,2.7119240209746107e-08,0.015676978048181026,0.011772711999725535,0.017027142099143563,0.017548967607441995,0.029486285302053394,0.014548112913948653,0.012761663174535786,0.01867103708840403,9.942827363814373e-09,0.012689094700141583,0.022295906661677953,0.0315479647267133
Brain_Anterior_cingulate_cortex_BA24,0.014946394789006685,0.014993794016245105,3.132039480456864e-08,0.03282878831745249,0.023467526896937225,0.0205698742844432,0.01476755008598522,0.07180902472777483,0.0,0.027358234949581926,0.014211380916812852,0.013993923221554027,0.08436374591470983,0.06531085189302246,0.0844317501316915,0.0452077112561181,3.3354665142158035e-08,0.03044567698648963,0.03416456816800253,0.043314967949609394,0.013067826467609388,0.016708032989493103,0.018927031620474457,0.019570852901911413,1.0176714723087106e-08,0.02640457808403872,4.207268984344169e-08,0.01105361882393527,0.021867319770608178,0.01080482960550492,0.014394247305483405,0.015391301466614387,0.014466596296570936,0.012682324527040803,0.013824635740562525,0.011539719029647493,0.024822329213701987,0.01403095043647964,0.024185521688977394,0.015348022489686353,2.5511527917253992e-08,0.01576984531519977,0.013056634748827779,0.016971435168563122,0.017615775588706323,0.0332908620919117,0.015585469464339162,0.013901688504131851,0.022751226397906978,1.0642675065824881e-08,0.013565859638363195,0.02648103277501022,0.026852523015055165
Brain_Caudate_basal_ganglia,0.011419758354742808,0.011694334051604286,3.964223175329957e-08,0.017897988609355233,0.014893384849723319,0.014494224284328226,0.011147748074076445,0.044184253012985175,0.029202302809560907,0.0,0.011322709916173096,0.01129598552543697,0.02032355100623364,0.019705733703365473,0.03859096273811576,0.029248399014961513,2.8310714485799897e-07,0.2155535997714672,0.03761254520008495,0.035631483069172305,0.010600983391843831,0.017549925257225527,0.021451840018083805,0.013671388227298367,8.378915907959982e-09,0.018655716908788336,2.6502510740352733e-08,0.008414357813512147,0.0183541068746284,0.00830010372623085,0.01190972624008968,0.01476824106438875,0.013454241016441255,0.010386243403493846,0.011502448648619927,0.0096381011221278,0.021890116999393697,0.012561584517405583,0.0332768274773268,0.013561652422047134,2.7055585588229767e-08,0.015929919586137615,0.010306315909216787,0.017572479938968075,0.017870896305232666,0.021839268645361752,0.012964522353388191,0.011227249647319078,0.014664679885759474,9.111605070879962e-09,0.011757168130310398,0.016893063704361406,0.04309238921118844
