tissue,n_eqtl,n_eqtl_specific,sample_size
Adipose_Subcutaneous,277962,20783,523
Adipose_Visceral_Omentum,167227,5865,363
Adrenal_Gland,83580,6864,205
Artery_Aorta,201849,11833,315
Artery_Coronary,53042,1391,183
Artery_Tibial,323209,35571,543
Brain_Amygdala,17729,770,124
Brain_Anterior_cingulate_cortex_BA24,37230,2230,148
Brain_Caudate_basal_ganglia,55940,3302,199
Brain_Cerebellar_Hemisphere,82894,6201,172
Brain_Cerebellum,138392,15832,215
Brain_Cortex,63584,3514,195
Brain_Frontal_Cortex_BA9,42794,2643,164
Brain_Hippocampus,27036,1131,153
Brain_Hypothalamus,24657,1004,155
Brain_Nucleus_accumbens_basal_ganglia,45693,2742,180
Brain_Putamen_basal_ganglia,39873,2146,149
Brain_Spinal_cord_cervical_c-1,21114,976,113
Brain_Substantia_nigra,14550,420,109
Breast_Mammary_Tissue,111071,2705,306
Cells_Transformed_fibroblasts,264701,44536,362
Colon_Sigmoid,106196,4075,254
Colon_Transverse,127291,6805,285
Esophagus_Gastroesophageal_Junction,112727,3555,263
Esophagus_Mucosa,313115,45935,444
Esophagus_Muscularis,255791,17799,404
Heart_Atrial_Appendage,150909,9233,310
Heart_Left_Ventricle,150754,9556,417
Liver,52739,3673,188
Lung,247172,16413,607
Minor_Salivary_Gland,16347,531,104
Muscle_Skeletal,330805,67521,718
Nerve_Tibial,332608,41445,498
Ovary,33121,1306,138
Pancreas,131954,12157,268
Pituitary,78858,3340,192
Prostate,33145,1518,159
Skin_Not_Sun_Exposed_Suprapubic,234789,13991,408
Skin_Sun_Exposed_Lower_leg,334873,39057,592
Small_Intestine_Terminal_Ileum,39587,1946,143
Spleen,72580,3465,169
Stomach,99608,3638,272
Testis,179663,34712,284
Thyroid,355986,55583,564
Uterus,20344,439,117
Vagina,19888,849,124
Whole_Blood,255235,51630,2412
Cells_EBV-transformed_lymphocytes,51259,3114,149
