Tissue	n_eQTL	RF	mean	pca	tsne
Adipose_Subcutaneous	239850	0.0323	0.1074	0.0992	0.1064
Adipose_Visceral_Omentum	156976	0.0285	0.0993	0.0873	0.0962
Adrenal_Gland	72670	0.0541	0.1957	0.1958	0.1940
Artery_Aorta	177960	0.0388	0.1307	0.1203	0.1269
Artery_Coronary	51245	0.0406	0.1097	0.0975	0.1017
Artery_Tibial	261132	0.0339	0.1232	0.1130	0.1277
Brain_Amygdala	16803	0.0519	0.2040	0.1523	0.1609
Brain_Anterior_cingulate_cortex_BA24	34229	0.0574	0.1762	0.1258	0.1283
Brain_Caudate_basal_ganglia	51502	0.0426	0.1401	0.1071	0.1072
Brain_Cerebellar_Hemisphere	66983	0.0566	0.2938	0.1621	0.1741
Brain_Cerebellum	107509	0.0691	0.3040	0.2231	0.2328
Brain_Cortex	58167	0.0538	0.2063	0.1558	0.1659
Brain_Frontal_Cortex_BA9	39085	0.0517	0.2112	0.1608	0.1613
Brain_Hippocampus	25660	0.0524	0.1439	0.1120	0.1152
Brain_Hypothalamus	23486	0.0551	0.1656	0.1297	0.1410
Brain_Nucleus_accumbens_basal_ganglia	41939	0.0457	0.1674	0.1338	0.1331
Brain_Putamen_basal_ganglia	36886	0.0620	0.1853	0.1476	0.1449
Brain_Spinal_cord_cervical_c-1	19432	0.0681	0.2711	0.2566	0.2540
Brain_Substantia_nigra	14035	0.0520	0.1732	0.1369	0.1430
Breast_Mammary_Tissue	106960	0.0306	0.0940	0.0828	0.0884
Cells_Transformed_fibroblasts	194410	0.0508	0.1849	0.1850	0.1861
Colon_Sigmoid	100308	0.0403	0.1419	0.1163	0.1375
Colon_Transverse	117117	0.0348	0.1107	0.1039	0.1157
Esophagus_Gastroesophageal_Junction	106919	0.0343	0.1134	0.0854	0.0893
Esophagus_Mucosa	239639	0.0423	0.1516	0.1455	0.1609
Esophagus_Muscularis	223124	0.0331	0.1099	0.0991	0.1009
Heart_Atrial_Appendage	136789	0.0361	0.1209	0.1204	0.1148
Heart_Left_Ventricle	133052	0.0409	0.1396	0.1354	0.1280
Liver	46713	0.0628	0.2310	0.2243	0.2373
Lung	217555	0.0302	0.1131	0.1053	0.1109
Minor_Salivary_Gland	15735	0.0476	0.1802	0.1670	0.1768
Muscle_Skeletal	229906	0.0452	0.1657	0.1696	0.1607
Nerve_Tibial	265583	0.0393	0.1293	0.1255	0.1322
Ovary	31486	0.0471	0.2071	0.2052	0.2085
Pancreas	113083	0.0546	0.1920	0.1909	0.1907
Pituitary	73655	0.0485	0.1695	0.1686	0.1743
Prostate	31217	0.0413	0.1314	0.1337	0.1316
Skin_Not_Sun_Exposed_Suprapubic	202900	0.0290	0.1214	0.0904	0.0873
Skin_Sun_Exposed_Lower_leg	262425	0.0320	0.1310	0.1075	0.1084
Small_Intestine_Terminal_Ileum	36975	0.0439	0.1409	0.1366	0.1381
Spleen	66949	0.0611	0.2184	0.2286	0.2209
Stomach	93682	0.0359	0.1162	0.1094	0.1165
Testis	129617	0.0717	0.2404	0.2379	0.2406
Thyroid	267647	0.0444	0.1373	0.1351	0.1368
Uterus	19788	0.0495	0.1903	0.1850	0.1881
Vagina	18926	0.0702	0.1463	0.1457	0.1483
Whole_Blood	177680	0.0531	0.2051	0.2074	0.2100
Cells_EBV-transformed_lymphocytes	46321	0.0656	0.3282	0.3263	0.3260
