Tissue	n_eQTL	RF	mean	pca	tsne
Adipose_Subcutaneous	239850	0.9962	0.9588	0.9640	0.9594
Adipose_Visceral_Omentum	156976	0.9973	0.9696	0.9759	0.9715
Adrenal_Gland	72670	0.9947	0.9353	0.9349	0.9363
Artery_Aorta	177960	0.9958	0.9513	0.9593	0.9541
Artery_Coronary	51245	0.9969	0.9771	0.9820	0.9803
Artery_Tibial	261132	0.9949	0.9437	0.9538	0.9426
Brain_Amygdala	16803	0.9971	0.9557	0.9755	0.9733
Brain_Anterior_cingulate_cortex_BA24	34229	0.9950	0.9526	0.9761	0.9752
Brain_Caudate_basal_ganglia	51502	0.9967	0.9643	0.9795	0.9794
Brain_Cerebellar_Hemisphere	66983	0.9954	0.8775	0.9635	0.9586
Brain_Cerebellum	107509	0.9928	0.8645	0.9313	0.9253
Brain_Cortex	58167	0.9955	0.9359	0.9644	0.9600
Brain_Frontal_Cortex_BA9	39085	0.9957	0.9276	0.9586	0.9583
Brain_Hippocampus	25660	0.9960	0.9693	0.9819	0.9806
Brain_Hypothalamus	23486	0.9962	0.9661	0.9792	0.9754
Brain_Nucleus_accumbens_basal_ganglia	41939	0.9966	0.9533	0.9702	0.9707
Brain_Putamen_basal_ganglia	36886	0.9951	0.9624	0.9771	0.9793
Brain_Spinal_cord_cervical_c-1	19432	0.9952	0.9282	0.9367	0.9391
Brain_Substantia_nigra	14035	0.9973	0.9713	0.9831	0.9811
Breast_Mammary_Tissue	106960	0.9974	0.9770	0.9817	0.9795
Cells_Transformed_fibroblasts	194410	0.9906	0.8718	0.8712	0.8711
Colon_Sigmoid	100308	0.9968	0.9644	0.9755	0.9665
Colon_Transverse	117117	0.9965	0.9656	0.9695	0.9634
Esophagus_Gastroesophageal_Junction	106919	0.9975	0.9756	0.9853	0.9851
Esophagus_Mucosa	239639	0.9932	0.9141	0.9215	0.9049
Esophagus_Muscularis	223124	0.9962	0.9585	0.9679	0.9667
Heart_Atrial_Appendage	136789	0.9964	0.9583	0.9588	0.9626
Heart_Left_Ventricle	133052	0.9951	0.9434	0.9476	0.9526
Liver	46713	0.9939	0.9138	0.9186	0.9085
Lung	217555	0.9961	0.9582	0.9621	0.9590
Minor_Salivary_Gland	15735	0.9979	0.9787	0.9795	0.9798
Muscle_Skeletal	229906	0.9918	0.8977	0.8972	0.9025
Nerve_Tibial	265583	0.9943	0.9389	0.9416	0.9360
Ovary	31486	0.9974	0.9516	0.9517	0.9505
Pancreas	113083	0.9941	0.9288	0.9291	0.9291
Pituitary	73655	0.9958	0.9549	0.9549	0.9515
Prostate	31217	0.9978	0.9791	0.9781	0.9790
Skin_Not_Sun_Exposed_Suprapubic	202900	0.9969	0.9485	0.9713	0.9731
Skin_Sun_Exposed_Lower_leg	262425	0.9957	0.9349	0.9554	0.9557
Small_Intestine_Terminal_Ileum	36975	0.9969	0.9680	0.9699	0.9694
Spleen	66949	0.9947	0.9473	0.9392	0.9446
Stomach	93682	0.9966	0.9667	0.9707	0.9664
Testis	129617	0.9871	0.8442	0.8481	0.8439
Thyroid	267647	0.9923	0.9301	0.9301	0.9292
Uterus	19788	0.9973	0.9622	0.9635	0.9631
Vagina	18926	0.9944	0.9762	0.9763	0.9758
Whole_Blood	177680	0.9870	0.8427	0.8432	0.8374
Cells_EBV-transformed_lymphocytes	46321	0.9953	0.8986	0.8995	0.9005
